"symbol","overallAssociationScore","geneticAssociations","somaticMutations","drugs","pathwaysSystemsBiology","textMining","rnaExpression","animalModels","targetName"
"NFKB1",0.005328109571704451,"No data","No data","No data","No data",0.04382167832783768,"No data","No data","nuclear factor kappa B subunit 1"
"FLT1",0.0052357146080332755,"No data","No data","No data","No data",0.043061764830823156,"No data","No data","fms related receptor tyrosine kinase 1"
"CALR",0.0051741179655858255,"No data","No data","No data","No data",0.04255515583281348,"No data","No data","calreticulin"
"YAP1",0.0051741179655858255,"No data","No data","No data","No data",0.04255515583281348,"No data","No data","Yes1 associated transcriptional regulator"
"P2RX7",0.0051741179655858255,"No data","No data","No data","No data",0.04255515583281348,"No data","No data","purinergic receptor P2X 7"
"FOXO3",0.0051741179655858255,"No data","No data","No data","No data",0.04255515583281348,"No data","No data","forkhead box O3"
"GSK3B",0.005174117965585825,"No data","No data","No data","No data",0.04255515583281347,"No data","No data","glycogen synthase kinase 3 beta"
"SOD1",0.005017662493769301,"No data","No data","No data","No data",0.04126836897786887,"No data","No data","superoxide dismutase 1"
"CSF3",0.004989328038243475,"No data","No data","No data","No data",0.04103532883878443,"No data","No data","colony stimulating factor 3"
"EGF",0.004989328038243475,"No data","No data","No data","No data",0.04103532883878443,"No data","No data","epidermal growth factor"
"KRT8",0.004989328038243475,"No data","No data","No data","No data",0.04103532883878443,"No data","No data","keratin 8"
"DES",0.004961198904859138,"No data","No data","No data","No data",0.04080397739636,"No data","No data","desmin"
"FOS",0.004804538110901123,"No data","No data","No data","No data",0.03951550184475537,"No data","No data","Fos proto-oncogene, AP-1 transcription factor subunit"
"CD8A",0.004804538110901123,"No data","No data","No data","No data",0.03951550184475537,"No data","No data","CD8a molecule"
"AMACR",0.004804538110901123,"No data","No data","No data","No data",0.03951550184475537,"No data","No data","alpha-methylacyl-CoA racemase"
"PECAM1",0.004773739789677399,"No data","No data","No data","No data",0.03926219734575053,"No data","No data","platelet and endothelial cell adhesion molecule 1"
"PALB2",0.004648082639084599,"No data","No data","No data","No data",0.03822871498981077,"No data","No data","partner and localizer of BRCA2"
"ANXA5",0.004619748183558772,"No data","No data","No data","No data",0.037995674850726316,"No data","No data","annexin A5"
"EGFR",0.004496554898663872,"No data","No data","No data","No data",0.03698245685470695,"No data","No data","epidermal growth factor receptor"
"IFNG",0.004496554898663872,"No data","No data","No data","No data",0.03698245685470695,"No data","No data","interferon gamma"
"RUNX1",0.004434958256216422,"No data","No data","No data","No data",0.03647584785669727,"No data","No data","RUNX family transcription factor 1"
"VPS11",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","VPS11 core subunit of CORVET and HOPS complexes"
"APOE",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","apolipoprotein E"
"VIPR2",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","vasoactive intestinal peptide receptor 2"
"MAGEC1",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","MAGE family member C1"
"TJP1",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","tight junction protein 1"
"EPHB4",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","EPH receptor B4"
"B3GAT1",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","beta-1,3-glucuronyltransferase 1"
"MAP1LC3B",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","microtubule associated protein 1 light chain 3 beta"
"KRT18",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","keratin 18"
"CSF1",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","colony stimulating factor 1"
"DEK",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","DEK proto-oncogene"
"PCNA",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","proliferating cell nuclear antigen"
"ADAM17",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","ADAM metallopeptidase domain 17"
"LAMC2",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","laminin subunit gamma 2"
"SELPLG",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","selectin P ligand"
"H3P12",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","H3 histone pseudogene 12"
"WNT4",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","Wnt family member 4"
"CLDN5",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","claudin 5"
"RAB22A",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","RAB22A, member RAS oncogene family"
"MN1",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","MN1 proto-oncogene, transcriptional regulator"
"PDCD1",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","programmed cell death 1"
"AGT",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","angiotensinogen"
"S100B",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","S100 calcium binding protein B"
"TH",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","tyrosine hydroxylase"
"VASP",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","vasodilator stimulated phosphoprotein"
"GCG",0.0044349582562164215,"No data","No data","No data","No data",0.03647584785669726,"No data","No data","glucagon"
"EZH2",0.0044144260420672715,"No data","No data","No data","No data",0.03630697819069404,"No data","No data","enhancer of zeste 2 polycomb repressive complex 2 subunit"
"JAG2",0.0042501683288740716,"No data","No data","No data","No data",0.03495602086266821,"No data","No data","jagged canonical Notch ligand 2"
"ACTB",0.004229636114724921,"No data","No data","No data","No data",0.034787151196664985,"No data","No data","actin beta"
"GJB6",0.00406537840153172,"No data","No data","No data","No data",0.03343619386863916,"No data","No data","gap junction protein beta 6"
"CD24",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD24 molecule"
"PRKCA",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","protein kinase C alpha"
"CCL21",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","C-C motif chemokine ligand 21"
"VTN",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","vitronectin"
"GATA1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","GATA binding protein 1"
"MMP10",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","matrix metallopeptidase 10"
"COL5A1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","collagen type V alpha 1 chain"
"MCAM",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","melanoma cell adhesion molecule"
"CALB2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","calbindin 2"
"FLNA",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","filamin A"
"SELE",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","selectin E"
"CXCR3",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","C-X-C motif chemokine receptor 3"
"KHSRP",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","KH-type splicing regulatory protein"
"LTF",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","lactotransferrin"
"EIF4EBP1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","eukaryotic translation initiation factor 4E binding protein 1"
"ACSS2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","acyl-CoA synthetase short chain family member 2"
"CAPN1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","calpain 1"
"ARG1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","arginase 1"
"CNR1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","cannabinoid receptor 1"
"DLL1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","delta like canonical Notch ligand 1"
"CD247",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD247 molecule"
"HSPA9",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","heat shock protein family A (Hsp70) member 9"
"EPHA4",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","EPH receptor A4"
"MMP1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","matrix metallopeptidase 1"
"IL18",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","interleukin 18"
"SUCNR1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","succinate receptor 1"
"MLC1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","modulator of VRAC current 1"
"ITGA2B",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","integrin subunit alpha 2b"
"NPY1R",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","neuropeptide Y receptor Y1"
"CD3G",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD3g molecule"
"SMAD7",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","SMAD family member 7"
"CD7",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD7 molecule"
"FGF7",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","fibroblast growth factor 7"
"RXFP1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","relaxin family peptide receptor 1"
"ADA2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","adenosine deaminase 2"
"CASP1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","caspase 1"
"LRRK2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","leucine rich repeat kinase 2"
"ACTA2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","actin alpha 2, smooth muscle"
"SMAD2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","SMAD family member 2"
"HOXB4",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","homeobox B4"
"HLA-DRB1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","major histocompatibility complex, class II, DR beta 1"
"DMBT1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","deleted in malignant brain tumors 1"
"MEF2C",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","myocyte enhancer factor 2C"
"ZEB1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","zinc finger E-box binding homeobox 1"
"RBPJ",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","recombination signal binding protein for immunoglobulin kappa J region"
"CD68",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD68 molecule"
"EPHA3",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","EPH receptor A3"
"NOL3",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","nucleolar protein 3"
"CD3D",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD3d molecule"
"KDM6B",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","lysine demethylase 6B"
"COL6A1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","collagen type VI alpha 1 chain"
"BIRC5",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","baculoviral IAP repeat containing 5"
"EP300",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","E1A binding protein p300"
"SRC",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","SRC proto-oncogene, non-receptor tyrosine kinase"
"WNT3",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","Wnt family member 3"
"KMT2A",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","lysine methyltransferase 2A"
"CCL3",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","C-C motif chemokine ligand 3"
"HMGB1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","high mobility group box 1"
"OGT",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","O-linked N-acetylglucosamine (GlcNAc) transferase"
"DYRK1A",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","dual specificity tyrosine phosphorylation regulated kinase 1A"
"CD3E",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","CD3e molecule"
"PF4",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","platelet factor 4"
"BCL2L1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","BCL2 like 1"
"CCR7",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","C-C motif chemokine receptor 7"
"DPYSL2",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","dihydropyrimidinase like 2"
"MUC4",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","mucin 4, cell surface associated"
"CXCL5",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","C-X-C motif chemokine ligand 5"
"PTH",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","parathyroid hormone"
"UVRAG",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","UV radiation resistance associated"
"PRMT1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","protein arginine methyltransferase 1"
"CDK1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","cyclin dependent kinase 1"
"PDE1A",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","phosphodiesterase 1A"
"MCC",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","MCC regulator of WNT signaling pathway"
"ITGBL1",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","integrin subunit beta like 1"
"KDM6A",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","lysine demethylase 6A"
"MT3",0.0036957985468470188,"No data","No data","No data","No data",0.030396539880581056,"No data","No data","metallothionein 3"
"STAT3",0.0035110086195046675,"No data","No data","No data","No data",0.028876712886552,"No data","No data","signal transducer and activator of transcription 3"
"SYP",0.0035110086195046675,"No data","No data","No data","No data",0.028876712886552,"No data","No data","synaptophysin"
"UCHL1",0.003326218692162316,"No data","No data","No data","No data",0.02735688589252295,"No data","No data","ubiquitin C-terminal hydrolase L1"
"ATP8B1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","ATPase phospholipid transporting 8B1"
"GLRA1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","glycine receptor alpha 1"
"ZFP36",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","ZFP36 ring finger protein"
"FASLG",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","Fas ligand"
"CYP1A1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","cytochrome P450 family 1 subfamily A member 1"
"PTPRN2",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","protein tyrosine phosphatase receptor type N2"
"SPINT1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","serine peptidase inhibitor, Kunitz type 1"
"S100P",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","S100 calcium binding protein P"
"NGB",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","neuroglobin"
"ORM1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","orosomucoid 1"
"ST14",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","ST14 transmembrane serine protease matriptase"
"SLC9A4",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","solute carrier family 9 member A4"
"IL6R",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","interleukin 6 receptor"
"SNHG7",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","small nucleolar RNA host gene 7"
"TERT",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","telomerase reverse transcriptase"
"HSPD1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","heat shock protein family D (Hsp60) member 1"
"CCNE1",0.0029566388374776143,"No data","No data","No data","No data",0.024317231904464845,"No data","No data","cyclin E1"
"ASAH1",0.0029361066233284643,"No data","No data","No data","No data",0.024148362238461615,"No data","No data","N-acylsphingosine amidohydrolase 1"
"STK11",0.002902844436406841,"No data","No data","No data","No data",0.023874793379536387,"No data","No data","serine/threonine kinase 11"
"IGF1",0.002900833959851361,0.0003758473853832625,"No data","No data","No data",0.023388448741447087,"No data","No data","insulin like growth factor 1"
"H3P23",0.002771848910135263,"No data","No data","No data","No data",0.02279740491043579,"No data","No data","H3 histone pseudogene 23"
"ICAM1",0.002771848910135263,"No data","No data","No data","No data",0.02279740491043579,"No data","No data","intercellular adhesion molecule 1"
"KITLG",0.002771848910135263,"No data","No data","No data","No data",0.02279740491043579,"No data","No data","KIT ligand"
"WNK2",0.002771848910135263,"No data","No data","No data","No data",0.02279740491043579,"No data","No data","WNK lysine deficient protein kinase 2"
"CASR",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","calcium sensing receptor"
"HOXB13",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","homeobox B13"
"CREB1",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","cAMP responsive element binding protein 1"
"ALB",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","albumin"
"PON1",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","paraoxonase 1"
"BRCA1",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","BRCA1 DNA repair associated"
"CASP8",0.0025870589827929123,"No data","No data","No data","No data",0.021277577916406734,"No data","No data","caspase 8"
"TNFRSF10A",0.0022537909994957096,0.00023892108463764115,"No data","No data","No data",0.01823792392834863,"No data","No data","TNF receptor superfamily member 10a"
"PAWR",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","pro-apoptotic WT1 regulator"
"SFTPB",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","surfactant protein B"
"SCT",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","secretin"
"CYP17A1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cytochrome P450 family 17 subfamily A member 1"
"TWIST1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","twist family bHLH transcription factor 1"
"PRKCE",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","protein kinase C epsilon"
"TNFSF10",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","TNF superfamily member 10"
"CNR2",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cannabinoid receptor 2"
"CDX2",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","caudal type homeobox 2"
"NOTCH3",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","notch receptor 3"
"CD58",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","CD58 molecule"
"KRT20",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","keratin 20"
"IL15",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","interleukin 15"
"PTCH1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","patched 1"
"NRAS",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","NRAS proto-oncogene, GTPase"
"NCOA2",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","nuclear receptor coactivator 2"
"NXPH1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","neurexophilin 1"
"MUC5AC",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","mucin 5AC, oligomeric mucus/gel-forming"
"TRIB3",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","tribbles pseudokinase 3"
"MAP2K1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","mitogen-activated protein kinase kinase 1"
"CLDN7",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","claudin 7"
"CCK",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cholecystokinin"
"CLDN1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","claudin 1"
"FOXD1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","forkhead box D1"
"CUL1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cullin 1"
"LZTS1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","leucine zipper tumor suppressor 1"
"EFNA1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","ephrin A1"
"FOXA1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","forkhead box A1"
"CASP7",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","caspase 7"
"CSAD",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cysteine sulfinic acid decarboxylase"
"CBLN1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cerebellin 1 precursor"
"AR",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","androgen receptor"
"F2RL3",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","F2R like thrombin or trypsin receptor 3"
"FGF2",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","fibroblast growth factor 2"
"ABCC3",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","ATP binding cassette subfamily C member 3"
"ABCG2",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","ATP binding cassette subfamily G member 2 (Junior blood group)"
"IBSP",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","integrin binding sialoprotein"
"DPP4",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","dipeptidyl peptidase 4"
"TNFRSF10B",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","TNF receptor superfamily member 10b"
"SLC4A3",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","solute carrier family 4 member 3"
"RET",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","ret proto-oncogene"
"LCT",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","lactase"
"DPY30",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","dpy-30 histone methyltransferase complex regulatory subunit"
"SMAD6",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","SMAD family member 6"
"BAK1",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","BCL2 antagonist/killer 1"
"FAS",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","Fas cell surface death receptor"
"MAP2K7",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","mitogen-activated protein kinase kinase 7"
"CDH23",0.0022174791281082107,"No data","No data","No data","No data",0.01823792392834863,"No data","No data","cadherin related 23"
"ATM",0.0018478992734235094,"No data","No data","No data","No data",0.015198269940290528,"No data","No data","ATM serine/threonine kinase"
"PRKAR1A",0.0018478992734235094,"No data","No data","No data","No data",0.015198269940290528,"No data","No data","protein kinase cAMP-dependent type I regulatory subunit alpha"
"UBE2D1",0.0015164325781564351,0.0002507730127663428,"No data","No data","No data",0.012158615952232422,"No data","No data","ubiquitin conjugating enzyme E2 D1"
"HOXA7",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","homeobox A7"
"REG3A",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","regenerating family member 3 alpha"
"ABL1",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","ABL proto-oncogene 1, non-receptor tyrosine kinase"
"SGK1",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","serum/glucocorticoid regulated kinase 1"
"LMF1",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","lipase maturation factor 1"
"PLG",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","plasminogen"
"HSPB1",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","heat shock protein family B (small) member 1"
"ATG7",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","autophagy related 7"
"P2RX3",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","purinergic receptor P2X 3"
"TYMS",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","thymidylate synthetase"
"ATG5",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","autophagy related 5"
"RESP18",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","regulated endocrine specific protein 18"
"HMGCLL1",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1"
"H3P22",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","H3 histone pseudogene 22"
"NES",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","nestin"
"SLC17A5",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","solute carrier family 17 member 5"
"NEFL",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","neurofilament light chain"
"PDGFB",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","platelet derived growth factor subunit B"
"SETD2",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","SET domain containing 2, histone lysine methyltransferase"
"INA",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","internexin neuronal intermediate filament protein alpha"
"ACO2",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","aconitase 2"
"PLAUR",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","plasminogen activator, urokinase receptor"
"MPL",0.0014783194187388072,"No data","No data","No data","No data",0.012158615952232422,"No data","No data","MPL proto-oncogene, thrombopoietin receptor"
